Category,Question,Number,Answers,
history,How many wives did Henry the Eighth have,2,six,6
history,Who was the first man in space,1,Gagarin,
history,What year did Christopher Columbus go to America,2,1492,fourteen ninty two
history,When did WWI start,2,1914,nineteen fourteen
history,When did WWII end,2,1945,nineteen fourty five
history,Can the Queen of England vote in Parliament,1,no,
history,What country gifted the land that is now Florida to the USA in 1891,1,Spain,
history,What year was President Kennedy assassinated,2,1963,nineteen sixty three
history,Who was the first president of the USA,2,George Washington,Washington
history,Who was the frist man on the moon,1,Armstrong,
